Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings,Sim Number
2010-08-30,Toronto,St. Louis,Tie in regulation,9,9,St. Louis,10,13,12,1
2010-09-01,Winnipeg,Philadelphia,Tie in regulation,2,2,Winnipeg,5,4,12,1
2010-09-01,"Washington, D.C.",Chicago,Tie in regulation,4,4,Chicago,6,7,6,1
2010-09-04,St. Louis,"Washington, D.C.",Tie in regulation,1,1,"Washington, D.C.",2,3,12,1
2010-09-07,Toronto,St. Paul,Tie in regulation,4,4,Toronto,5,4,11,1
2010-09-09,Akron,Boston,Tie in regulation,1,1,Boston,3,5,40,1
2010-09-09,Pittsburgh,Winnipeg,Tie in regulation,3,3,Pittsburgh,4,3,4,1
2010-09-10,St. Paul,Philadelphia,Tie in regulation,1,1,St. Paul,5,3,5,1
2010-09-10,Toronto,Chicago,Tie in regulation,4,4,Toronto,5,4,18,1
2010-09-11,Akron,Boston,Tie in regulation,2,2,Boston,4,5,18,1
2010-09-11,Indianapolis,New Haven,Tie in regulation,4,4,New Haven,5,6,36,1
2010-09-17,Chicago,St. Paul,Tie in regulation,5,5,St. Paul,7,9,12,1
2010-09-16,Akron,Indianapolis,Tie in regulation,6,6,Indianapolis,7,14,4,1
2010-09-16,New Haven,Montreal,Tie in regulation,4,4,Montreal,6,7,4,1
2010-09-17,Boston,New York,Tie in regulation,4,4,New York,5,8,23,1
2010-09-19,New Haven,Boston,Tie in regulation,2,2,Boston,2,4,6,1
2010-09-25,Montreal,Boston,Tie in regulation,6,6,Boston,7,8,10,1
2010-04-01,Philadelphia,Pittsburgh,Pittsburgh,3,6,,,,,2
2010-04-01,Indianapolis,Columbus,Columbus,2,3,,,,,2
2010-04-01,Chicago,St. Louis,Chicago,4,2,,,,,2
2010-04-01,New York,Boston,New York,4,2,,,,,2
2010-04-01,Montreal,New Haven,New Haven,2,4,,,,,2
2010-04-02,St. Paul,Winnipeg,Winnipeg,2,3,,,,,2
2010-04-02,"Washington, D.C.",Toronto,"Washington, D.C.",5,1,,,,,2
2010-04-02,Akron,Detroit,Detroit,4,7,,,,,2
2010-04-02,Philadelphia,Pittsburgh,Philadelphia,5,2,,,,,2
2010-04-02,Indianapolis,Columbus,Columbus,5,8,,,,,2
2010-04-02,Chicago,St. Louis,Chicago,7,5,,,,,2
2010-04-02,New York,Boston,Boston,1,8,,,,,2
2010-04-02,Montreal,New Haven,New Haven,2,3,,,,,2
2010-04-03,St. Paul,Winnipeg,Winnipeg,2,3,,,,,2
2010-04-03,"Washington, D.C.",Toronto,"Washington, D.C.",12,4,,,,,2
2010-04-03,Akron,Detroit,Detroit,4,7,,,,,2
2010-04-03,Philadelphia,Pittsburgh,Pittsburgh,3,7,,,,,2
2010-04-03,Indianapolis,Columbus,Columbus,2,7,,,,,2
2010-04-03,Chicago,St. Louis,Chicago,13,7,,,,,2
2010-04-03,New York,Boston,Boston,8,10,,,,,2
2010-04-03,Montreal,New Haven,Montreal,6,4,,,,,2
2010-04-04,St. Paul,Winnipeg,Winnipeg,1,10,,,,,2
2010-04-04,"Washington, D.C.",Toronto,"Washington, D.C.",5,1,,,,,2
2010-04-04,Akron,Detroit,Detroit,1,2,,,,,2
2010-04-04,New York,New Haven,New York,6,5,,,,,2
2010-04-04,Columbus,Indianapolis,Columbus,2,1,,,,,2
2010-04-05,Pittsburgh,"Washington, D.C.","Washington, D.C.",5,6,,,,,2
2010-04-05,Chicago,St. Paul,St. Paul,3,8,,,,,2
2010-04-05,Boston,Montreal,Montreal,3,5,,,,,2
2010-04-05,Detroit,Akron,Akron,2,7,,,,,2
2010-04-05,New York,New Haven,New Haven,1,7,,,,,2
2010-04-05,Columbus,Indianapolis,Columbus,6,3,,,,,2
2010-04-06,Winnipeg,St. Louis,St. Louis,4,5,,,,,2
2010-04-06,Chicago,St. Paul,Chicago,4,1,,,,,2
2010-04-06,Boston,Montreal,Boston,6,3,,,,,2
2010-04-06,Toronto,Philadelphia,Toronto,8,6,,,,,2
2010-04-06,Detroit,Akron,Akron,0,9,,,,,2
2010-04-06,New York,New Haven,New York,5,3,,,,,2
